THEO DÕI VẬT TƯ IBS HI - MRO;;;;;;;;;;;;;
;;;;;;;;;;;;;
STT;Số PR;Số Báo Giá;Nội dung; ĐVT; Số lượng; Đơn Giá; Thành tiền;Ngày gửi PR;Ngày BG;Ngày dự kiến về IBS;Ngày hàng đến IBS;Trạng thái;Ghi chú
1;A027-2026;BG-2603.0026;Cáp thép nâng hạ D20mm (6x36+IWRC); m;90;109.000;9.810.000;;05/03/2026;12/03/2026;12/03/2026;Đã về;
2;A037-2026;BG-2603.0027;Mũi khoan từ Unika MX75N-35.0; Cái;5;1.066.000;5.330.000;;05/03/2026;12/03/2026;16/03/2026;Đã về;
3;A037-2026;BG-2603.0027;Mũi khoan từ 50mm Unika MX50N-40.0; Cái;5;1.030.000;5.150.000;;05/03/2026;12/03/2026;16/03/2026;Đã về;
4;A037-2026;BG-2603.0027;Bép cắt laser đôi D28 1.4 - CP; Cái;10;50.000;500.000;;05/03/2026;12/03/2026;10/03/2026;Đã về;
5;A037-2026;BG-2603.0027;Bép cắt laser đôi D28 1.8 - CP; Cái;10;50.000;500.000;;05/03/2026;12/03/2026;10/03/2026;Đã về;
6;A036-2026;BG-2603.0029;Đá mài màu đen Mobota MG126022-B 125x6x22.2mm; Viên;2.000,00;8.333;16.666.000;;05/03/2026;12/03/2026;11/03/2026;Đã về;
7;A036-2026;BG-2603.0029;Đá mài màu đen Mobota MG106016-B 100X6x16mm; Viên;1.000,00;5.185;5.185.000;;05/03/2026;12/03/2026;11/03/2026;Đã về;Mới về 834 Pcs
8;A036-2026;BG-2603.0029;Đá cắt màu đen Mobota MC101516-B 100x1.5x16mm; Viên;500;4.722;2.361.000;;05/03/2026;12/03/2026;11/03/2026;Đã về;
9;A036-2026;BG-2603.0029;Đá cắt màu đen Mobota MC152022-B 150x2x22.2mm; Viên;500;10.463;5.231.500;;05/03/2026;12/03/2026;;Chưa về;
10;A036-2026;BG-2603.0029;Đá mài màu đen Mobota MG186022-B 180x6x22.2mm; Viên;500;16.667;8.333.500;;05/03/2026;12/03/2026;;Chưa về;
11;A034-2026;BG-2603.0030;Bánh xe FKR 1.0x1.2 dùng cho Mig 500N388; Cái;50;48.000;2.400.000;;05/03/2026;12/03/2026;;Chưa về;
12;A034-2026;BG-2603.0030;Con lăn sơn 6cm; Cái;100;6.300;630.000;;05/03/2026;12/03/2026;;Chưa về;
13;A034-2026;BG-2603.0030;Con lăn sơn 10cm; Cái;100;9.700;970.000;;05/03/2026;12/03/2026;;Chưa về;
14;A034-2026;BG-2603.0030;Bép cắt đơn 1.8 dùng cho máy cắt Laser EMC; Cái;20;40.000;800.000;;05/03/2026;12/03/2026;10/03/2026;Đã về;
15;A034-2026;BG-2603.0030;Bép cắt đơn 1.6 dùng cho máy cắt Laser EMC; Cái;20;40.000;800.000;;05/03/2026;12/03/2026;10/03/2026;Đã về;
16;A034-2026;BG-2603.0030;Bép cắt đơn 2.0 dùng cho máy cắt Laser EMC; Cái;20;39.000;780.000;;05/03/2026;12/03/2026;10/03/2026;Đã về;
17;A034-2026;BG-2603.0030;Bép cắt đơn 2.5 dùng cho máy cắt Laser EMC; Cái;10;39.000;390.000;;05/03/2026;12/03/2026;10/03/2026;Đã về;
18;A034-2026;BG-2603.0030;Bép cắt đơn 3.0 dùng cho máy cắt Laser EMC; Cái;10;39.000;390.000;;05/03/2026;12/03/2026;10/03/2026;Đã về;
19;A034-2026;BG-2603.0030;Bép cắt đơn 4.0 dùng cho máy cắt Laser EMC; Cái;10;39.000;390.000;;05/03/2026;12/03/2026;10/03/2026;Đã về;
20;A034-2026;BG-2603.0030;Bép cắt đôi 1.2 dùng cho máy cắt Laser EMC; Cái;20;50.000;1.000.000;;05/03/2026;12/03/2026;10/03/2026;Đã về;
21;A034-2026;BG-2603.0030;Bép cắt đôi 1.5 dùng cho máy cắt Laser EMC; Cái;20;50.000;1.000.000;;05/03/2026;12/03/2026;10/03/2026;Đã về;
22;A020-2026;;Máy đo nhiệt độ điểm sương ELCOMETER G319-S; Cái;1;; -   ;;;28/03/2026;;Chưa về;Đã đặt hàng, dự kiến cuối tháng 3 về IBS HI
23;A020-2026;;Bộ kiểm tra độ muối ELCOMETER 138 (0-19.99mS/cm; Bộ;1;; -   ;;;28/03/2026;;Chưa về;Đã đặt hàng, dự kiến cuối tháng 3 về IBS HI
24;A007-2026;BG-2601.0033;Máy mài góc Makita 9556Hn 840W 100mm; Cái;20;1.257.273;25.145.460;;12/01/2026;09/03/2026;10/03/2026;Đã về;Đổi sang hàng Bosh
25;A007-2026;BG-2601.0033;Máy mài góc Makita 9558Hn 840W 271X139X106 840;Cái;30;1.326.364;39.790.920;;12/01/2026;10/03/2026;17/03/2026;Đã về;Đổi sang hàng Bosh/ Ngày 17/03 mới về đc 13 cái
26;A007-2026;BG-2601.0033;Máy mài góc Makita Ga6010 356X169X112 1050;Cái;20;1.934.545;38.690.900;;12/01/2026;10/03/2026;;Chưa về;Đổi sang hàng Bosh
27;A007-2026;BG-2601.0033;Máy mài khuôn Makita MT M9100B 6mm;Cái;30;1.050.000;31.500.000;;12/01/2026;10/03/2026;;Chưa về;Đổi sang hàng Bosh
;;;;;;; -   ;;;;;;
;;;;;;; -   ;;;;;;
;;;;;;; -   ;;;;;;
;;;;;;; -   ;;;;;;
