;;;;;;;;THEO DÕI VẬT TƯ DỰ ÁN/ MATERIAL CONTROL LOG;;;;;Hướng dẫn cập nhật thông tin:;;;;Thời gian nộp bảng cập nhật:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DỰ TOÁN;;;;;;;
;;;;;;;;Tên dự án/ Project no.:25-BRA-I-090;;;;;- Chữ tô màu xanh:;;Chưa cập nhật;;- Trong ngày khi có biến động.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Cập nhật ngày/ Update to:;;4/4/26;;;- Chữ tô màu đỏ:;;Đã cập nhật mới;;- Báo cáo hàng tuần vào 16:30 mỗi chiều thứ 2.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Đánh giá 
(Thiếu/ Đủ/ Thừa)";;;;;Xin chuyển đổi;;"Item/ 
STT";"Description/ 
Chi tiết";Profile/ Vật tư;Grade/ Mác vật liệu;Unit/ Đơn vị;U.Weight/ Đ.Trọng (Kg/m2,m,pcs);Net Quantity/Số lượng tinh;;"Current Ordered/Dự trù lần 1
(Ngày 24/4/2025)";;"Current Ordered/Dự trù lần 2
(Ngày 5/5/2025)";;"Current Ordered/Dự trù lần 3
(Ngày 14/5/2025)";;"Current Ordered/Dự trù lần 4
(Ngày 25/5/2025)";;"Current Ordered/Dự trù lần 4
(Ngày 2/6/2025)";;"Current Ordered/Dự trù lần 5
(Ngày 13/6/2025)";;"Current Ordered/Dự trù lần 6
(Ngày 21/6/2025)";;"Current Ordered/Dự trù lần 7
(Ngày 12/7/2025)";;"Current Ordered/Dự trù lần 8
(Ngày 29/7/2025)";;"Current Ordered/Dự trù lần 9
(Ngày 2/8/2025)";;"Current Ordered/Dự trù lần 10
(Ngày 13/8/2025)";;"Current Ordered/Dự trù lần 11
(Ngày 16/8/2025)";;"Current Ordered/Dự trù lần 12
(Ngày 22/8/2025)";;"Current Ordered/Dự trù lần 13
(Ngày 23/8/2025)";;"Current Ordered/Dự trù lần 14
(Ngày 28/8/2025)";;"Current Ordered/Dự trù lần 15
(Ngày 04/9/2025)";;"Current Ordered/Dự trù lần 16
(Ngày 06/9/2025)";;"Current Ordered/Dự trù lần 17
(Ngày 12/9/2025)";;"Current Ordered/Dự trù lần 18
(Ngày 13/9/2025)";;"Current Ordered/Dự trù lần 19
(Ngày 02/10/2025)";;"Current Ordered/Dự trù lần 20
(Ngày 04/10/2025)";;"Current Ordered/Dự trù lần 21
(Ngày 10/10/2025)";;"Current Ordered/Dự trù lần 22
(Ngày 16/10/2025)";;"Current Ordered/Dự trù lần 23
(Ngày 20/10/2025)";;"Current Ordered/Dự trù lần 24
(Ngày 23/10/2025)";;"Current Ordered/Dự trù lần 25
(Ngày 29/10/2025)";;"Current Ordered/Dự trù lần 26
(Ngày 4/11/2025)";;"Current Ordered/Dự trù lần 27
(Ngày 9/11/2025)";;"Current Ordered/Dự trù lần 28
(Ngày 20/11/2025)";;"Current Ordered/Dự trù lần 29
(Ngày 25/11/2025)";;"Current Ordered/Dự trù lần 30
(Ngày 26/11/2025)";;"Current Ordered/Dự trù lần 31
(Ngày 04/12/2025)";;"Current Ordered/Dự trù lần 32
(Ngày 05/12/2025)";;"Current Ordered/Dự trù lần 33
(Ngày 12/12/2025)";;"Current Ordered/Dự trù lần 34
(Ngày 17/12/2025)";;"Current Ordered/Dự trù lần 35
(Ngày 17/12/2025)";;"Current Ordered/Dự trù lần 36
(Ngày 24/12/2025)";;"Current Ordered/Dự trù lần 37
(Ngày 30/1/2026)";;"Current Ordered/Dự trù lần 38
(Ngày 25/2/2026)";;"Current Ordered/Dự trù lần 39
(Ngày 5/3/2026)";;"Current Ordered/Dự trù lần 40
(Ngày10/3/2026)";;"Current Ordered/Dự trù lần 41
(Ngày17/3/2026)";;Total Ordered/Tổng dự trù;;Remarks/ Ghi chú;Tận dụng tồn kho/ Remain;;;;;Khối lượng phải mua sắm/ total order;;Ngày bàn giao vật tư/ Material avaiable for hand over date;VẬT TƯ TRONG NƯỚC;;;;;;;;;;;;;ĐÃ MUA TRONG NƯỚC;;QC Nghiệm thu;;;; Mua sắm nước ngoài/ Oversea purchase ;;;;;;;;;;;;;;;;;;ĐÃ MUA NHẬP KHẨU;;Nghiệm thu;;;;TỔNG ĐÃ MUA TRONG VÀ NGOÀI NƯỚC;;So sánh với số lượng vật tư PR;;;Remarks/ Ghi chú;;;;;;;;
;;;;;;;;;;;;;;"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";;Report No.;"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";Ngày nghiệm thu ACC;Remarks/ Ghi chú;"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";;Số Hợp đồng / Contract No;Nhà cung cấp/ Vendor;Profile/ Vật tư;Grade/ Mác vật liệu;Contract weight ( K.Lượng theo HĐ);Ngày ký HD/ Contract date;S.Lượng giao hàng thực tế/ Handover Q'ty;K.Lượng giao hàng thực tế// Handover weight;" Đơn giá / Unit Price 
(Not VAT) ";" Tổng tiền đã VAT
(VNĐ) ";% thuế VAT;" Tổng tiền chưa VAT
(VNĐ) ";Bàn giao sản xuất/ Handover to Product;"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";Report No.;Inspection date;Khối lượng nghiệm thu đạt/ Weight Acc. Inspection;Results;Số Hợp đồng / Contract No;Nhà cung cấp/ Vendor;Profile/ Vật tư;Grade/ Mác vật liệu; Weight/ Khối lượng (Kg) ;Ngày ký HD/ Contract date;Số lượng giao hàng thực tế/ Handover Q'ty;Khối lượng giao hàng thực tế/ Handover Q'ty; Đơn giá / Unit Price ;Thành tiền Hợp đồng/ total;Ngày mở L/C/ LC issued date;Hàng đi từ cảng nước ngoài/ Export Port;Hàng Đến cảng HP (CIF)/ HaiPhong CIF;Ngày thanh toán / Payment date;Thủ tục hải quan, vận chuyển/ Paper work, local transportaion date;Ngày hàng về / Arived;Ngày mời nghiệm thu / invice QC date;Bàn giao sản xuất/ Handover to Product;"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";Report No.;Inspection date;Khối lượng nghiệm thu đạt/ Weight Acc. Inspection;Results;"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Q.Ty/
S.Lượng";"Weight/
K.Lượng (Kg)";"Đánh giá 
(Thiếu/ Đủ/ Thừa)";;STT;Chi tiết vật liệu;;ĐVT;" Định
mức "; Số lượng ;"  Khối
lượng ";  Đơn giá (VNĐ) 
;`;"Số lượng cần
(M/M2)";Note;Lượng kho đang lấy của Hoàng cấp;Lượng lấy vượt;Xin chuyển đổi;Để xuất chuyển đổi;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;;;;;;;;
;;;;;;;;A.;Main-Material /  Vật tư chính;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 31.490,4 ; 1.394.826,7 ; -   ; -   ; 142,0 ; 11.796,1 ; -   ; -   ; 31.349,4 ; 1.383.047,6 ; 2.931.869,0 ; -   ; -   ; -   ; 304,0 ; 859.979,9 ; 10.236.939,0 ; 22.635,8 ; 899.567,9 ; 199.218.374,1 ; 15.427.475.089,9 ; 22,4 ; 14.032.751.063,5 ; 11.022.547,0 ; 22.641,8 ; 899.567,9 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 471.928,9 ; 2.153.635,0 ; 10.590,0 ; 471.928,9 ; 57,5 ; 538.667,0 ; 2.154.298,0 ; -   ; 459.050,0 ; 366.808,0 ; 825.898,0 ; 1.467.446,0 ; 2.155.495,0 ; 1.513.959,0 ; 10.590,0 ; 471.928,9 ; -   ; -   ; -   ; -   ; 33.231,8 ; 1.371.496,8 ; (1.882,3); 11.550,9 ; -   ; -   ;I ;;;;;;;
Hiện; Đủ ; -  ,00 ;;;;;;I90-A1;Bulong móng;ANCHOR BOLT M42;;sets;10,64;320;3404,0; 320,00 ; 3.404,0 ;;;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 320,00 ; 3.404,00 ;" Thông số kỹ thuật theo bản vẽ đặt hàng ""I90-13105-ANCHOR BOLT M42"" ";;;;;; 320 ; 3.404 ;15/5/25;90.1/HĐKT-2025 IBS-VSAN;VSAN;"Thanh ren M42-4.5x675
Ecu M42-4.5
Vòng đẹm phẳng OD75xID43x10mm
Vòng đệm phẳng M42";; N/A ;26/4/25;320,00; N/A ;635.930,00;223.847.360,00;10%;203.497.600,00;20-May; 320 ; -   ;;;;;;;;;;;;;;;;;;;;;;; -   ; -  ,00 ;;;;; 320 ; -   ; -   ; 3.404 ; Đủ ;;;;;;;;;
Hiện; Đủ ; -  ,00 ;;;;;;I90-A2;Tôn tấm;PL10x2000x6000;1.0577(S355J2)/ ASTM A36;m2;0,00;#DIV/0!;2452,8; 48,0 ; 3.768,0 ;;;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 48,00 ; 3.768,00 ; Rev01-đổi khổ như thực tế đã mua PL10x2000x6000-4 tờ ;;;;;; 48 ; 3.768 ;15/5/25;020525/HN-IBS;Hùng Nguyên;Thép tấm 10x2000x6000 = 4 Tấm/ Cây SS400;SS400; 3.768,00 ;2/5/25;48,00; 3.768,00 ; 13.545,45 ; 56.143.181,16 ;10%;51.039.255,60;5-May; 48 ; 3.768 ;;;;;;;;;;;;;;;;;;;;;;; -   ; -  ,00 ;;;;; 48 ; 3.768 ; -   ; -   ; Đủ ;;;;;;;;;
Hiện; Đủ ; -  ,00 ;;;;;;I90-A3;Tôn tấm;PL1.5x800x800;ASTM A36;m2;11,8;0,34;4,0;;; 0,64 ; 7,5 ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3,0 ; 35,3 ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3,64 ; 42,86 ; Rev08-PL1.5x1200x2500 ;; 4 ; 43 ;;Mời nghiệm thu ngày 10/6; 0 ; 0 ;15/5/25;;;;;;;;;;;;;; -   ; -   ;;;;;;;;;;;;;;;;;;;;;;; -   ; -  ,00 ;;;;; -   ; -   ; -   ; -   ; Đủ ;;;;;;;;;
